job_role,Requisition id,job responsibilities,qualification,desired,location
"Associate/VP – MRG Market Risk Capital Models, GMG – Mumbai",190038061,,,,"Mumbai,MH,IN"
,,,,,
"Associate/VP – MRG Market Risk Capital Models, GMG – Mumbai",190038065,,,,"Mumbai,MH,IN"
,,,,,
CIB - Middle Office -  Transaction Processing Manager - Associate,190038118,,,,"Mumbai,MH,IN"
,,,,,
Big Data Developer Post Trade Reservoir Platform,190026666,,,,"Bangalore East,KA,IN"
,,,,,
Wealth Management - DE Cash Processing - Team Member,190033222,,,,"Mumbai,MH,IN"
,,,,,
Software Engineering - Python,190006971,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering,190027185,,,,"Bangalore East,KA,IN"
,,,,,
CIB – Cash Operations – Transaction Processing Specialist - Operations Analyst,190036432,,,,"Bangalore East,KA,IN"
,,,,,
CIB – Cash Operations – Transaction Processing Specialist - Operations Analyst,190036443,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineer - Java,190020577,,,,"Mumbai,MH,IN"
,,,,,
Business Analysis Manager - VP - Home Lending,190012374,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering,190039630,,,,"Bangalore East,KA,IN"
,,,,,
Project Manager - VP,190039788,,,,"Bangalore East,KA,IN"
,,,,,
Team Leader - Fraud Call Center,190038393,,,,"Mumbai,MH,IN"
,,,,,
"India Corporate Center HRSD Payroll, Project Manager, VP",190040202,,,,"Mumbai,MH,IN"
,,,,,
Software Engineering,190039632,,,,"Bangalore East,KA,IN"
,,,,,
HR Accounting - Senior Analyst,190039804,,,,"Mumbai,MH,IN"
,,,,,
HR Accounting - Analyst,190029996,,,,"Mumbai,MH,IN"
,,,,,
Asset Management - Managed Account Middle Office – Associate,190017711,,,,"Mumbai,MH,IN"
,,,,,
"Team Member - Corporate Accounts Payable, GSSO",190034007,,,,"Bangalore East,KA,IN"
,,,,,
Application Packaging Support Analyst,190029697,,,,"Hyderabad,AP,IN"
,,,,,
Data Quality Profiling - Associate,190029715,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering - Associate,190023939,,,,"Mumbai,MH,IN"
,,,,,
Software Engineering,190027183,,,,"Mumbai,MH,IN"
,,,,,
Software Engineering - Automation Enginner,190008603,,,,"Hyderabad,AP,IN"
,,,,,
Wealth Management - DE Cash Processing - Team Member,190033225,,,,"Mumbai,MH,IN"
,,,,,
